12 4 ss 3 3 3 3 3 3 3 3 
0 1 2
0 2 70
0 3 91
0 4 53
0 5 83
0 6 11
0 7 31
0 8 96
0 9 62
0 10 68
0 11 41
1 2 83
1 3 61
1 4 10
1 5 51
1 6 48
1 7 26
1 8 2
1 9 56
1 10 21
1 11 83
2 3 10
2 4 62
2 5 19
2 6 22
2 7 59
2 8 1
2 9 11
2 10 86
2 11 84
3 4 24
3 5 94
3 6 92
3 7 67
3 8 80
3 9 46
3 10 0
3 11 94
4 5 56
4 6 92
4 7 57
4 8 99
4 9 74
4 10 82
4 11 5
5 6 90
5 7 14
5 8 60
5 9 73
5 10 7
5 11 99
6 7 34
6 8 81
6 9 94
6 10 64
6 11 97
7 8 51
7 9 25
7 10 76
7 11 89
8 9 85
8 10 24
8 11 92
9 10 58
9 11 37
10 11 10
