random, greedy_1, greedy_2, greedy_3_true, greedy_3_fals
['Geo_n010_ds_01.txt', 3720.4120000000003, 3793.9809999999998, 3804.825, 3571.6530000000002, 3473.6899999999996]
['Geo_n010_ds_02.txt', 1623.337, 1299.1309999999999, 1367.788, 1230.4519999999998, 1287.057]
['Geo_n010_ds_03.txt', 1617.701, 1635.286, 1604.6609999999998, 1610.1850000000002, 1334.077]
['Geo_n010_ds_04.txt', 3425.3109999999997, 3581.17, 3634.5739999999996, 3414.199, 3382.4790000000003]
['Geo_n010_ds_05.txt', 1832.892, 2099.174, 2117.542, 2095.2920000000004, 1697.1280000000002]
['Geo_n010_ds_06.txt', 1109.55, 1039.812, 794.4579999999999, 1033.1019999999999, 1014.147]
['Geo_n010_ds_07.txt', 2935.0029999999997, 2857.092, 2935.0029999999997, 3031.267, 2974.273]
['Geo_n010_ds_08.txt', 2175.862, 2150.923, 2120.7709999999997, 2215.2470000000003, 2132.6400000000003]
['Geo_n010_ds_09.txt', 3782.241, 3667.4440000000004, 3797.607, 3745.09, 3642.4180000000006]
['Geo_n010_ds_10.txt', 3536.0060000000003, 4383.987, 4532.586, 4492.239, 3693.794]
['Geo_n010_ss_01.txt', 3492.781, 3570.255, 3602.471, 3571.6530000000002, 3473.6899999999996]
['Geo_n010_ss_02.txt', 1135.184, 1299.1309999999999, 1367.788, 1230.4519999999998, 1287.057]
['Geo_n010_ss_03.txt', 1598.5079999999998, 1635.286, 1604.6609999999998, 1610.1850000000002, 1334.077]
['Geo_n010_ss_04.txt', 3369.1009999999997, 3414.199, 3342.368, 3414.199, 3382.4790000000003]
['Geo_n010_ss_05.txt', 1983.023, 1897.28, 1897.28, 1992.7020000000002, 1697.1280000000002]
['Geo_n010_ss_06.txt', 996.258, 1039.812, 794.4579999999999, 1033.1019999999999, 1014.147]
['Geo_n010_ss_07.txt', 2783.7870000000003, 2857.092, 2935.0029999999997, 3031.267, 2953.9880000000003]
['Geo_n010_ss_08.txt', 2142.3239999999996, 2150.9230000000002, 2120.7709999999997, 2215.2470000000003, 2132.6400000000003]
['Geo_n010_ss_09.txt', 3684.358, 3667.4440000000004, 3797.607, 3745.09, 3642.4180000000006]
['Geo_n010_ss_10.txt', 3621.444, 3685.9130000000005, 3635.732, 3622.974, 3693.794]
['Geo_n012_ds_01.txt', 808.816, 746.9290000000001, 722.8249999999999, 659.1980000000001, 551.319]
['Geo_n012_ds_02.txt', 736.675, 848.2209999999999, 640.7830000000001, 850.665, 769.535]
['Geo_n012_ds_03.txt', 2165.7250000000004, 2175.81, 2127.281, 2352.5860000000002, 1844.0910000000001]
['Geo_n012_ds_04.txt', 1597.991, 1626.527, 1576.7089999999998, 1997.214, 1590.127]
['Geo_n012_ds_05.txt', 2052.7859999999996, 2548.277, 2534.9480000000003, 2028.1970000000001, 1955.2459999999996]
['Geo_n012_ds_06.txt', 1883.577, 1496.64, 1445.6950000000002, 1414.045, 1102.296]
['Geo_n012_ds_07.txt', 1458.252, 1677.068, 1706.917, 1544.246, 1299.6380000000001]
['Geo_n012_ds_08.txt', 2181.238, 2272.626, 2288.734, 2401.3630000000003, 2084.024]
['Geo_n012_ds_09.txt', 1739.5349999999999, 1647.8899999999999, 1502.7979999999998, 1661.458, 1433.787]
['Geo_n012_ds_10.txt', 678.589, 712.6020000000001, 650.0810000000001, 828.4850000000001, 536.455]
['Geo_n012_ss_01.txt', 546.465, 599.309, 513.1899999999999, 659.1980000000001, 423.132]
['Geo_n012_ss_02.txt', 748.529, 756.7439999999999, 715.8219999999999, 763.6899999999999, 622.253]
['Geo_n012_ss_03.txt', 2234.6169999999997, 2175.81, 2127.281, 2352.5860000000002, 1844.0910000000001]
['Geo_n012_ss_04.txt', 1419.134, 1474.652, 1488.7479999999996, 1572.768, 1385.103]
['Geo_n012_ss_05.txt', 1900.562, 2072.405, 1915.1220000000003, 2080.41, 1912.379]
['Geo_n012_ss_06.txt', 1263.542, 1360.771, 1283.8890000000001, 1414.045, 1050.509]
['Geo_n012_ss_07.txt', 1303.0639999999999, 1259.217, 1220.414, 1394.715, 1261.758]
['Geo_n012_ss_08.txt', 2031.9160000000002, 2096.998, 1982.8129999999996, 2235.292, 1914.651]
['Geo_n012_ss_09.txt', 1523.772, 1547.6739999999998, 1534.158, 1715.451, 1427.439]
['Geo_n012_ss_10.txt', 540.6469999999999, 662.686, 649.625, 778.516, 560.26]
['Geo_n030_ds_01.txt', 14086.633999999998, 13846.308, 13374.706, 13766.544, 12378.166000000001]
['Geo_n030_ds_02.txt', 12987.104000000001, 12892.527, 12755.936000000002, 13109.139, 11615.065999999999]
['Geo_n030_ds_03.txt', 10345.970000000001, 10673.681, 10623.952000000001, 10877.721000000001, 9090.398]
['Geo_n030_ds_04.txt', 5412.5419999999995, 5354.9090000000015, 5335.995000000001, 5521.418, 3722.1059999999998]
['Geo_n030_ds_05.txt', 13085.684999999998, 14593.777999999998, 14490.79, 14437.285000000003, 12152.401000000002]
['Geo_n030_ds_06.txt', 14032.558, 14444.656000000003, 13866.795000000002, 14604.086, 12495.548000000003]
['Geo_n030_ds_07.txt', 7466.661, 7563.919000000001, 7453.709999999999, 7569.590000000001, 6145.992]
['Geo_n030_ds_08.txt', 14944.599999999999, 12474.775000000001, 12525.347, 13081.996, 11505.061]
['Geo_n030_ds_09.txt', 10689.161, 10242.942, 9952.01, 10684.897, 9168.028999999999]
['Geo_n030_ds_10.txt', 10049.791, 10436.095000000001, 9618.542, 10134.454, 8623.626]
['Geo_n030_ss_01.txt', 12671.648000000001, 12949.286, 12667.283, 13264.797000000002, 12446.872]
['Geo_n030_ss_02.txt', 12414.462, 12720.514, 12601.651999999998, 12858.27, 11864.872]
['Geo_n030_ss_03.txt', 9873.052, 9999.893, 9949.957, 10361.306, 8767.248000000001]
['Geo_n030_ss_04.txt', 5017.427000000001, 4956.842, 5005.097, 5201.308, 3837.015]
['Geo_n030_ss_05.txt', 13236.819, 13064.616, 12963.725999999999, 13475.033, 11877.108]
['Geo_n030_ss_06.txt', 13174.435, 13787.429999999998, 13481.155, 14072.295999999998, 12387.760000000002]
['Geo_n030_ss_07.txt', 7004.963, 7206.653, 7000.3730000000005, 7350.049000000001, 6188.754]
['Geo_n030_ss_08.txt', 12581.888, 12615.461000000001, 12558.426, 12822.626, 11338.859]
['Geo_n030_ss_09.txt', 9905.192000000001, 10291.582, 9744.002, 10500.978, 9089.148000000001]
['Geo_n030_ss_10.txt', 9745.142, 9896.512, 9496.851, 9830.269, 8623.626]
['Geo_n060_ds_01.txt', 45436.136999999995, 44534.606, 44118.699, 45682.945999999996, 42696.816999999995]
['Geo_n060_ds_02.txt', 43286.356999999996, 44579.238999999994, 44191.334, 44028.695999999996, 38373.865000000005]
['Geo_n060_ds_03.txt', 51039.246999999996, 54599.03700000001, 53814.66100000001, 53385.137, 47802.274000000005]
['Geo_n060_ds_04.txt', 46612.25200000001, 47594.219, 47204.63099999999, 48302.769, 40568.377]
['Geo_n060_ds_05.txt', 51425.374, 51018.387, 50808.875, 50497.93600000001, 46098.358]
['Geo_n060_ds_06.txt', 24080.701999999997, 25567.517000000003, 24626.035, 24996.453, 19772.016000000003]
['Geo_n060_ds_07.txt', 37618.174000000006, 37598.39400000001, 37660.726, 38254.837, 33760.346]
['Geo_n060_ds_08.txt', 39693.201, 38455.270000000004, 38457.05300000001, 39415.402, 35840.7]
['Geo_n060_ds_09.txt', 35803.694, 36978.780999999995, 36663.734000000004, 37837.982, 32171.841]
['Geo_n060_ds_10.txt', 54555.149000000005, 52991.981999999996, 52813.602999999996, 53623.886, 47632.668000000005]
['Geo_n060_ss_01.txt', 43813.272, 43762.71, 43435.909999999996, 43993.978, 41240.945999999996]
['Geo_n060_ss_02.txt', 41372.87300000001, 41942.147, 41145.761000000006, 42797.676, 38383.439]
['Geo_n060_ss_03.txt', 49921.416000000005, 49797.606, 49201.80799999999, 50150.47, 46610.524999999994]
['Geo_n060_ss_04.txt', 44554.38100000001, 44556.499, 43615.629, 45224.628000000004, 40727.809]
['Geo_n060_ss_05.txt', 47960.928, 48009.432, 47821.205, 48900.122, 45271.206]
['Geo_n060_ss_06.txt', 23934.245, 23821.265999999996, 22464.002, 24155.191, 19721.524]
['Geo_n060_ss_07.txt', 36419.644, 36233.795000000006, 36445.422, 37493.796, 33146.86]
['Geo_n060_ss_08.txt', 38760.903000000006, 38201.928, 37792.761, 39415.401999999995, 36060.7]
['Geo_n060_ss_09.txt', 34593.594000000005, 34806.305, 34489.162000000004, 35442.384, 32080.381]
['Geo_n060_ss_10.txt', 49365.37899999999, 50243.708, 49892.087, 50959.855, 46589.712]
['Geo_n120_ds_01.txt', 102202.75299999998, 104632.92700000003, 103769.09500000003, 106203.18800000001, 88136.844]
['Geo_n120_ds_02.txt', 52743.515999999996, 54587.167, 55236.718, 57104.516, 36963.600000000006]
['Geo_n120_ds_03.txt', 46632.317, 47063.335, 46728.47600000001, 47860.299, 29116.952999999998]
['Geo_n120_ds_04.txt', 72708.92399999998, 72573.524, 73543.019, 74290.766, 59120.023]
['Geo_n120_ds_05.txt', 109514.271, 114487.611, 114275.63399999999, 115566.23800000001, 99972.38799999999]
['Geo_n120_ds_06.txt', 125758.85400000002, 127361.63500000001, 127230.51500000001, 128878.99299999999, 113545.65]
['Geo_n120_ds_07.txt', 99912.04299999999, 101256.629, 99952.21299999997, 102804.132, 84558.179]
['Geo_n120_ds_08.txt', 79636.745, 79738.51700000002, 78404.85399999999, 79686.49, 67278.706]
['Geo_n120_ds_09.txt', 86651.05500000001, 87801.582, 88401.633, 88686.583, 73077.253]
['Geo_n120_ds_10.txt', 60150.052999999985, 60686.748, 60234.823000000004, 62312.380999999994, 46009.663]
['Geo_n120_ss_01.txt', 97983.467, 96426.08, 96531.92499999999, 100024.36, 87716.05799999999]
['Geo_n120_ss_02.txt', 52776.459, 50221.201, 51618.05699999999, 52831.397000000004, 38447.396]
['Geo_n120_ss_03.txt', 44747.326, 44368.441999999995, 42875.488, 45896.481, 27653.024999999998]
['Geo_n120_ss_04.txt', 69793.488, 69451.693, 69938.91500000001, 71801.937, 57305.663]
['Geo_n120_ss_05.txt', 108444.236, 108434.38100000002, 107766.579, 111099.99900000001, 97494.03]
['Geo_n120_ss_06.txt', 119716.511, 121416.381, 120781.03600000001, 124120.88400000002, 110495.406]
['Geo_n120_ss_07.txt', 93710.654, 94346.759, 94139.5, 96603.215, 83318.83600000001]
['Geo_n120_ss_08.txt', 76332.563, 75454.619, 74173.548, 77800.30799999999, 64669.181000000004]
['Geo_n120_ss_09.txt', 84050.313, 83628.02900000001, 82703.556, 85640.836, 72467.3]
['Geo_n120_ss_10.txt', 57580.20199999999, 56819.647000000004, 55662.40600000001, 58356.473, 44322.619000000006]
['Geo_n240_ds_01.txt', 185485.95700000002, 189286.04500000004, 190671.01499999996, 188411.54599999994, 122793.24]
['Geo_n240_ds_02.txt', 329880.00399999996, 334961.399, 334451.9470000001, 332690.409, 281712.356]
['Geo_n240_ds_03.txt', 203572.936, 202182.191, 203303.31399999995, 205313.987, 147044.05800000002]
['Geo_n240_ds_04.txt', 242560.569, 250501.32399999996, 251216.045, 250593.213, 195945.606]
['Geo_n240_ds_05.txt', 296428.73, 300195.477, 296708.5779999999, 298949.716, 249459.56500000003]
['Geo_n240_ds_06.txt', 340517.89800000004, 339535.998, 338030.92299999995, 340697.967, 290701.044]
['Geo_n240_ds_07.txt', 325126.3949999999, 325664.2780000001, 324685.0470000001, 329834.4660000001, 278020.92299999995]
['Geo_n240_ds_08.txt', 125649.32100000001, 121827.634, 123514.53000000001, 123791.219, 70439.22200000001]
['Geo_n240_ds_09.txt', 387959.1660000001, 392299.52599999995, 390814.34699999995, 396108.408, 348472.177]
['Geo_n240_ds_10.txt', 336287.05600000004, 340726.68100000004, 341093.70199999993, 342700.87899999996, 298625.39600000007]
['Geo_n240_ss_01.txt', 182272.312, 178576.736, 180048.734, 183533.106, 126992.599]
['Geo_n240_ss_02.txt', 318270.501, 319947.081, 320617.48500000004, 326782.20900000003, 279074.03]
['Geo_n240_ss_03.txt', 199383.12000000005, 196957.252, 196361.34200000003, 203262.96300000002, 149151.761]
['Geo_n240_ss_04.txt', 239929.81600000002, 237118.611, 235592.47699999998, 242052.429, 196311.91999999998]
['Geo_n240_ss_05.txt', 289530.508, 288974.17, 288059.09400000004, 294736.515, 246847.507]
['Geo_n240_ss_06.txt', 329195.30399999995, 331023.66099999996, 327213.889, 335182.34200000006, 289697.99500000005]
['Geo_n240_ss_07.txt', 317120.936, 315547.53400000004, 314397.198, 322863.297, 277157.47000000003]
['Geo_n240_ss_08.txt', 122315.632, 116073.662, 115669.72899999999, 120834.83499999999, 62145.961]
